dev_id,car_model
M2210703644,EV6
M2210703645,EV6
M2210703646,EV6
M2210703647,EV6
M2210703648,EV6
M2210703649,EV6
M2210703652,EV6
M2210703653,EV6
M2210703654,EV6
M2210703657,EV6
M2210703658,EV6
M2210703659,EV6
M2210703660,EV6
M2210703669,EV6
M2210703670,EV6
M2210703671,EV6
M2210703672,EV6
M2210703707,EV6
M2210703710,EV6
M2210703711,EV6
M2210703712,EV6
M2210703713,EV6
M2210703714,EV6
M2210703715,EV6
M2210703716,EV6
M2210703718,EV6
M2210703719,EV6
M2210703721,EV6
M2210703722,EV6
M2210703723,EV6
M2210703724,EV6
M2210703725,EV6
M2210703726,EV6
M2210703727,EV6
M2210703728,EV6
M2210703730,EV6
M2210703731,EV6
M2210703747,EV6
M2210703748,EV6
M2210703749,EV6
M2210703751,EV6
M2210703752,EV6
M2210703753,EV6
M2210703754,EV6
M2210703791,EV6
M2210703792,EV6
M2210703842,EV6
M2210703845,EV6
M2210703849,EV6
M2210703972,EV6
M2210703974,EV6
M2210703975,EV6
M2210703978,EV6
M2210703979,EV6
M2210703982,EV6
M2210703983,EV6
M2210703984,EV6
M2210703985,EV6
M2210703987,EV6
M2210703988,EV6
M2210703989,EV6
M2210703991,EV6
M2210703992,EV6
M2210703994,EV6
M2210703995,EV6
M2210703997,EV6
M2210703998,EV6
M2210703999,EV6
M2210704008,EV6
M2210704010,EV6
M2210704012,EV6
M2210704014,EV6
M2210704016,EV6
M2210704017,EV6
M2210704019,EV6
M2210704020,EV6
M2210704023,EV6
M2210704024,EV6
M2210704026,EV6
M2210704028,EV6
M2210704029,EV6
M2210704031,EV6
M2210704032,EV6
M2210704033,EV6
M2210704034,EV6
M2210704040,EV6
M2210704043,EV6
M2210704045,EV6
M2210704047,EV6
M2210704049,EV6
M2210704053,EV6
M2210704058,EV6
M2210704060,EV6
M2210704061,EV6
M2210704062,EV6
M2210704065,EV6
M2210704072,EV6
M2210704073,EV6
M2210704074,EV6
M2210704075,EV6
M2210704076,EV6
M2210704077,EV6
M2210704078,EV6
M2210704081,EV6
M2210704082,EV6
M2210704083,EV6
M2210704085,EV6
M2210704086,EV6
M2210704087,EV6
M2210704090,EV6
M2210704092,EV6
M2210704095,EV6
M2210704096,EV6
M2210704097,EV6
M2210704099,EV6
M2210704100,EV6
M2210704204,EV6
M2210704205,EV6
M2210704207,EV6
M2210704238,EV6
M2210704246,EV6
M2210704255,EV6
M2210704266,EV6
M2211120117,EV6
M2211120121,EV6
M2211120140,EV6
M2211120145,EV6
M2211120227,EV6
M2211120431,EV6
M2211122545,EV6
M2211122555,EV6
M2211122568,EV6
M2211122573,EV6
M2211122592,EV6
M2211122598,EV6
M2211122602,EV6
M2211122603,EV6
M2211122609,EV6
M2211122610,EV6
M2211122612,EV6
M2211122618,EV6
M2211122624,EV6
M2211122626,EV6
M2211122627,EV6
M2211122629,EV6
M2211122638,EV6
M2211122652,EV6
M2211122659,EV6
M2211122663,EV6
M2211122665,EV6
M2211122666,EV6
M2211122677,EV6
M2211122679,EV6
M2211122680,EV6
M2211122681,EV6
M2211122686,EV6
M2211122688,EV6
M2211122691,EV6
M2211122696,EV6
M2211122697,EV6
M2211122703,EV6
M2211122704,EV6
M2211122710,EV6
M2211122711,EV6
M2211122713,EV6
M2211122714,EV6
M2211122716,EV6
M2211122719,EV6
M2211122725,EV6
M2211122737,EV6
M2211122738,EV6
M2211122740,EV6
M2211122746,EV6
M2211122748,EV6
M2211122750,EV6
M2211122754,EV6
M2211122755,EV6
M2211122756,EV6
M2211122757,EV6
M2211122758,EV6
M2211122760,EV6
M2211122762,EV6
M2211122766,EV6
M2211122768,EV6
M2211122769,EV6
M2211122776,EV6
M2211122792,EV6
M2211122797,EV6
M2211122828,EV6
M2211122852,EV6
M2211122858,EV6
M2211122864,EV6
M2211122874,EV6
M2211122878,EV6
M2211122893,EV6
M2211122898,EV6
M2211122904,EV6
M2211122906,EV6
M2211122910,EV6
M2211122916,EV6
M2211122921,EV6
M2211122925,EV6
M2211122932,EV6
M2211122934,EV6
M2211122935,EV6
M2211122941,EV6
M2211122945,EV6
M2211122948,EV6
M2211122953,EV6
M2211122958,EV6
M2211122966,EV6
M2211122983,EV6
M2211122996,EV6
M2211123000,EV6
M2211123257,EV6
M1190900291,KONA
M2210703805,eG80
M2210703864,eG80
M2210703932,eG80
M2210703934,eG80
M2210703935,eG80
M2210703936,eG80
M2210703937,eG80
M2210703938,eG80
M2210703939,eG80
M2210703942,eG80
M2210703943,eG80
M2210703944,eG80
M2210703945,eG80
M2210703946,eG80
M2210703947,eG80
M2210703948,eG80
M2211120222,eG80
M2211122543,eG80
M2211122572,eG80
M2211122605,eG80
M2211122641,eG80
M2211122644,eG80
M2211122647,eG80
M2211122648,eG80
M2211122660,eG80
M2211122678,eG80
M2211122793,eG80
M2211122865,eG80
M2211122883,eG80
M2211122894,eG80
M2211122995,eG80
M2211123301,eG80
M1200607258,IONIQ5
M1200607261,IONIQ5
